ID,lat,long,mean_v,collisions,details
0,51.437,-2.6,15.05,37,Bed Pde OB to Parson St/Bed Dwn
1,51.459,-2.563,15.33,227,Old Mkt East OB to Church Rd OB
2,51.436,-2.623,31.42,182,Parson St/W'Stoke to Portway OB
3,51.424,-2.607,18.44,163,Hartcliffe Way IB to Parson St/Bed Dwn
4,51.452,-2.587,25.57,11,Victoria St SB to Old Market St East OB
5,51.436,-2.557,11.07,71,Bath Rd P&R IB to Bath Rd/ Three Lamps IB
6,51.424,-2.603,28.24,228,Parson St/Parson SB to Hartclffe Wy OB
7,51.477,-2.543,17.02,51,A432/Straits IB to A432/Coombe IB
8,51.463,-2.61,13.92,228,St Michaels OB to Blackboy Hill OB
9,51.438,-2.555,11.89,32,Three Lamps OB to Bath Rd P&R OB
10,51.454,-2.629,31.91,75,Hotwell Rd OB to Portway OB
11,51.448,-2.594,14.15,113,Bedminster Parade IB to Redcliffe Way West OB
12,51.479,-2.591,13.84,121,Stokes Croft OB to A38 Monks Pk OB
13,51.447,-2.584,17.04,68,Bath Rd/ Three Lamps IB to Victoria St NB
14,51.452,-2.583,8.91,79,Avon St IB to Cattlemarket Rd OB
15,51.457,-2.587,9.72,31,Old Market St West EB to M32 Newfoundland Circus OB
16,51.477,-2.543,15.81,145,A432/Coombe OB to A432/Straits OB
17,51.428,-2.569,15.28,10,Hartcliffe Way OB to Bath Rd P&R OB
18,51.477,-2.575,17.13,76,M32 J2 OB to Gloucester Rd @ Monks Park Ave OB
19,51.448,-2.59,23.28,261,Redcliffe Way West IB to Coronation Rd OB
20,51.454,-2.625,28.87,225,Portway IB to Hotwell Rd IB
21,51.479,-2.573,17.18,135,Gloucester Rd @ Monks Park Ave IB to M32 J2 IB
22,51.479,-2.587,13.86,227,A38 Monks Pk IB to Stokes Croft IB
23,51.457,-2.583,11.58,23,M32 Newfoundland Circus IB to Old Market St West WB
24,51.448,-2.581,23.61,37,Victoria St SB to Bath Rd/ Three Lamps OB
25,51.457,-2.563,17.17,286,Church Rd IB to Old Mkt East IB
26,51.463,-2.606,13.7,41,Blackboy Hill IB to St Michaels IB
27,51.439,-2.604,18.77,127,Parson St/West to Bed Pde IB
28,51.436,-2.619,25.26,216,Portway IB to Parson St/West
29,51.426,-2.567,15.64,204,Bath Rd P&R IB to Hartcliffe Way IB
